Name,RA,Dec,SED_Slope,YSO_Class,LCType
J125717.24-625822.2,194.321729,-62.972787,-1.69,ClassIII,NV
J204127.96+415535.5,310.366493,41.926528,0.29,FS,NV
J190143.95+042323.9,285.4331,4.389932,-0.79,ClassII,NV
J194457.44+261337.3,296.239439,26.227076,0.12,FS,NV
J165456.12-434736.0,253.733929,-43.793268,-0.24,FS,Irregular
J190138.62+053654.5,285.410807,5.615301,-0.46,ClassII,NV
J154141.28-554608.7,235.42198,-55.769043,-1.11,ClassII,Curved
J103605.23-591329.6,159.021955,-59.224818,-0.51,ClassII,NV
J165227.23-431751.2,253.113528,-43.29761,-0.84,ClassII,Irregular
J162253.07-510638.4,245.72107,-51.110505,-0.9,ClassII,NV
J173909.49-303741.0,264.789502,-30.628034,1.41,ClassI,NV
J190333.93+045528.0,285.891344,4.92449,-0.49,ClassII,Irregular
J144702.34-601325.9,221.759731,-60.223896,0.26,FS,NV
J173332.22-323358.0,263.384503,-32.565999,1.48,ClassI,NV
J123638.77-630946.6,189.161471,-63.162892,-0.67,ClassII,NV
J193854.61+224456.2,294.727647,22.748829,-0.93,ClassII,Irregular
J185225.49+005406.1,283.106182,0.901763,0.47,ClassI,NV
J085300.44-441325.6,133.2519,-44.223813,-0.59,ClassII,Curved
J183938.65-055151.1,279.911026,-5.864149,-0.85,ClassII,NV
J170026.94-455616.4,255.112272,-45.937896,-1.47,ClassII,NV
J203356.99+400320.5,308.487494,40.05565,-1.09,ClassII,NV
J160355.05-533624.7,240.979261,-53.606784,-1.92,ClassIII,NV
J112132.15-602717.1,170.38378,-60.454696,0.43,ClassI,NV
J221138.57+585604.0,332.910809,58.934506,-0.04,FS,Irregular
J131029.44-630301.0,197.622823,-63.050325,-0.6,ClassII,NV
J164759.17-455036.9,251.996655,-45.843676,-1.17,ClassII,NV
J183007.61-101508.9,277.531692,-10.252478,-0.81,ClassII,NV
J194453.46+234900.8,296.22291,23.816965,-0.34,ClassII,Irregular
J134922.20-620204.5,207.342496,-62.034578,-1.12,ClassII,Irregular
J160221.86-535419.2,240.591042,-53.9052,0.99,ClassI,NV
J131618.63-623147.9,199.077574,-62.529971,-1.18,ClassII,NV
J183609.79-080817.2,279.040864,-8.138237,-1.05,ClassII,Irregular
J202914.77+430122.8,307.311465,43.022754,0.71,ClassI,NV
J164109.62-454936.1,250.290147,-45.82669,-1.24,ClassII,NV
J174125.04-311536.5,265.354361,-31.26014,-2.0,ClassIII,Irregular
J203216.96+413139.7,308.070467,41.527614,-1.98,ClassIII,NV
J092909.57-513658.6,142.289912,-51.616308,-1.6,ClassIII,NV
J111611.04-614259.9,169.045658,-61.716816,-0.04,FS,NV
J194707.41+260942.1,296.780883,26.161631,-2.03,ClassIII,NV
J111220.80-613121.2,168.086489,-61.522594,-0.31,ClassII,Curved
J223456.96+582110.9,338.736904,58.353162,-0.37,ClassII,NV
J193806.83+210705.9,294.528251,21.11842,0.05,FS,NV
J190144.80+042357.1,285.436643,4.399445,-0.08,FS,Irregular
J162311.77-510344.3,245.798974,-51.062294,-0.62,ClassII,NV
J124059.01-614402.8,190.245972,-61.734094,-0.91,ClassII,NV
J085156.59-424915.8,132.985828,-42.821156,-0.26,FS,NV
J180600.49-205152.7,271.501917,-20.864395,-0.17,FS,NV
J195425.90+263635.0,298.608108,26.609786,-1.55,ClassII,NV
J191535.70+122814.2,288.899062,12.470449,-1.11,ClassII,NV
J135948.93-612050.2,209.95428,-61.347543,-1.22,ClassII,NV
J154310.19-545909.8,235.792639,-54.98602,-0.45,ClassII,Linear
J191732.91+111952.4,289.387271,11.331188,-1.55,ClassII,Irregular
J202412.00+394635.8,306.050019,39.776591,-0.72,ClassII,NV
J163219.57-484400.7,248.081428,-48.733412,-1.3,ClassII,NV
J222151.41+584350.7,335.464222,58.730761,-0.73,ClassII,NV
J202824.23+413924.7,307.100985,41.656851,0.0,FS,NV
J192926.74+193142.3,292.361477,19.52845,-1.88,ClassIII,NV
