Name,RA,Dec,SED_Slope,YSO_Class,LCType
J165456.12-434736.0,253.733929,-43.793268,-0.24,FS,Irregular
J154141.28-554608.7,235.42198,-55.769043,-1.11,ClassII,Curved
J165227.23-431751.2,253.113528,-43.29761,-0.84,ClassII,Irregular
J190333.93+045528.0,285.891344,4.92449,-0.49,ClassII,Irregular
J193854.61+224456.2,294.727647,22.748829,-0.93,ClassII,Irregular
J085300.44-441325.6,133.2519,-44.223813,-0.59,ClassII,Curved
J221138.57+585604.0,332.910809,58.934506,-0.04,FS,Irregular
J194453.46+234900.8,296.22291,23.816965,-0.34,ClassII,Irregular
J134922.20-620204.5,207.342496,-62.034578,-1.12,ClassII,Irregular
J183609.79-080817.2,279.040864,-8.138237,-1.05,ClassII,Irregular
J174125.04-311536.5,265.354361,-31.26014,-2.0,ClassIII,Irregular
J111220.80-613121.2,168.086489,-61.522594,-0.31,ClassII,Curved
J190144.80+042357.1,285.436643,4.399445,-0.08,FS,Irregular
J154310.19-545909.8,235.792639,-54.98602,-0.45,ClassII,Linear
J191732.91+111952.4,289.387271,11.331188,-1.55,ClassII,Irregular
J165702.02-451814.0,254.258445,-45.303924,-0.89,ClassII,Irregular
J084945.97-431107.4,132.441601,-43.18538,-0.33,ClassII,Irregular
J183622.84-075347.6,279.095147,-7.896819,-0.75,ClassII,Irregular
J194632.59+243648.6,296.635904,24.613516,-1.08,ClassII,Irregular
J123631.58-624837.3,189.131687,-62.810393,0.07,FS,Irregular
J181501.63-172756.3,273.756896,-17.465684,-1.36,ClassII,Irregular
J181635.30-111248.0,274.147073,-11.213363,-1.27,ClassII,Irregular
J085903.32-435254.3,134.763813,-43.881742,-1.45,ClassII,Irregular
J181807.73-135028.2,274.53225,-13.841181,-0.19,FS,Irregular
J174132.52-290602.2,265.385543,-29.100579,-0.97,ClassII,Irregular
J162101.71-495237.1,245.257131,-49.8769,-1.15,ClassII,Irregular
J085825.54-473051.9,134.60661,-47.514317,0.45,ClassI,Irregular
J164918.20-444424.0,252.325968,-44.740029,-1.37,ClassII,Drop
J144453.59-601259.3,221.223309,-60.216411,0.16,FS,Irregular
J175012.68-253432.7,267.552871,-25.575762,-0.03,FS,Irregular
J181912.19-171157.2,274.800955,-17.19935,-1.04,ClassII,Irregular
J091012.18-475013.2,137.550684,-47.837023,-0.17,FS,Periodic
