Source,RA,Dec,Paper,LCType,YSO_Class
NEOWISE_NS_0,194.321729,-62.972787,Neha_Sharma,NV,ClassIII
NEOWISE_NS_1,310.366493,41.926528,Neha_Sharma,NV,FS
NEOWISE_NS_2,285.4331,4.389932,Neha_Sharma,NV,ClassII
NEOWISE_NS_3,296.239439,26.227076,Neha_Sharma,NV,FS
NEOWISE_NS_4,253.733929,-43.793268,Neha_Sharma,Irregular,FS
NEOWISE_NS_5,285.410807,5.615301,Neha_Sharma,NV,ClassII
NEOWISE_NS_6,235.42198,-55.769043,Neha_Sharma,Curved,ClassII
NEOWISE_NS_7,159.021955,-59.224818,Neha_Sharma,NV,ClassII
NEOWISE_NS_8,253.113528,-43.29761,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_9,245.72107,-51.110505,Neha_Sharma,NV,ClassII
NEOWISE_NS_10,264.789502,-30.628034,Neha_Sharma,NV,ClassI
NEOWISE_NS_11,285.891344,4.92449,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_12,221.759731,-60.223896,Neha_Sharma,NV,FS
NEOWISE_NS_13,263.384503,-32.565999,Neha_Sharma,NV,ClassI
NEOWISE_NS_14,189.161471,-63.162892,Neha_Sharma,NV,ClassII
NEOWISE_NS_15,294.727647,22.748829,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_16,283.106182,0.901763,Neha_Sharma,NV,ClassI
NEOWISE_NS_17,133.2519,-44.223813,Neha_Sharma,Curved,ClassII
NEOWISE_NS_18,279.911026,-5.864149,Neha_Sharma,NV,ClassII
NEOWISE_NS_19,255.112272,-45.937896,Neha_Sharma,NV,ClassII
NEOWISE_NS_20,308.487494,40.05565,Neha_Sharma,NV,ClassII
NEOWISE_NS_21,240.979261,-53.606784,Neha_Sharma,NV,ClassIII
NEOWISE_NS_22,170.38378,-60.454696,Neha_Sharma,NV,ClassI
NEOWISE_NS_23,332.910809,58.934506,Neha_Sharma,Irregular,FS
NEOWISE_NS_24,197.622823,-63.050325,Neha_Sharma,NV,ClassII
NEOWISE_NS_25,251.996655,-45.843676,Neha_Sharma,NV,ClassII
NEOWISE_NS_26,277.531692,-10.252478,Neha_Sharma,NV,ClassII
NEOWISE_NS_27,296.22291,23.816965,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_28,207.342496,-62.034578,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_29,240.591042,-53.9052,Neha_Sharma,NV,ClassI
NEOWISE_NS_30,199.077574,-62.529971,Neha_Sharma,NV,ClassII
NEOWISE_NS_31,279.040864,-8.138237,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_32,307.311465,43.022754,Neha_Sharma,NV,ClassI
NEOWISE_NS_33,250.290147,-45.82669,Neha_Sharma,NV,ClassII
NEOWISE_NS_34,265.354361,-31.26014,Neha_Sharma,Irregular,ClassIII
NEOWISE_NS_35,308.070467,41.527614,Neha_Sharma,NV,ClassIII
NEOWISE_NS_36,142.289912,-51.616308,Neha_Sharma,NV,ClassIII
NEOWISE_NS_37,169.045658,-61.716816,Neha_Sharma,NV,FS
NEOWISE_NS_38,296.780883,26.161631,Neha_Sharma,NV,ClassIII
NEOWISE_NS_39,168.086489,-61.522594,Neha_Sharma,Curved,ClassII
NEOWISE_NS_40,338.736904,58.353162,Neha_Sharma,NV,ClassII
NEOWISE_NS_41,294.528251,21.11842,Neha_Sharma,NV,FS
NEOWISE_NS_42,285.436643,4.399445,Neha_Sharma,Irregular,FS
NEOWISE_NS_43,245.798974,-51.062294,Neha_Sharma,NV,ClassII
NEOWISE_NS_44,190.245972,-61.734094,Neha_Sharma,NV,ClassII
NEOWISE_NS_45,132.985828,-42.821156,Neha_Sharma,NV,FS
NEOWISE_NS_46,271.501917,-20.864395,Neha_Sharma,NV,FS
NEOWISE_NS_47,298.608108,26.609786,Neha_Sharma,NV,ClassII
NEOWISE_NS_48,288.899062,12.470449,Neha_Sharma,NV,ClassII
NEOWISE_NS_49,209.95428,-61.347543,Neha_Sharma,NV,ClassII
NEOWISE_NS_50,235.792639,-54.98602,Neha_Sharma,Linear,ClassII
NEOWISE_NS_51,289.387271,11.331188,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_52,306.050019,39.776591,Neha_Sharma,NV,ClassII
NEOWISE_NS_53,248.081428,-48.733412,Neha_Sharma,NV,ClassII
NEOWISE_NS_54,335.464222,58.730761,Neha_Sharma,NV,ClassII
NEOWISE_NS_55,307.100985,41.656851,Neha_Sharma,NV,FS
NEOWISE_NS_56,292.361477,19.52845,Neha_Sharma,NV,ClassIII
NEOWISE_NS_57,254.258445,-45.303924,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_58,132.441601,-43.18538,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_59,279.095147,-7.896819,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_60,135.593443,-48.558357,Neha_Sharma,NV,ClassII
NEOWISE_NS_61,241.551093,-51.93398,Neha_Sharma,NV,ClassII
NEOWISE_NS_62,175.12954,-63.404992,Neha_Sharma,NV,ClassII
NEOWISE_NS_63,255.63976,-40.343157,Neha_Sharma,NV,ClassII
NEOWISE_NS_64,296.635904,24.613516,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_65,189.131687,-62.810393,Neha_Sharma,Irregular,FS
NEOWISE_NS_66,154.565663,-57.294365,Neha_Sharma,NV,ClassII
NEOWISE_NS_67,150.984781,-55.844084,Neha_Sharma,NV,ClassI
NEOWISE_NS_68,308.323951,41.217974,Neha_Sharma,NV,ClassII
NEOWISE_NS_69,273.756896,-17.465684,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_70,310.40454,42.443666,Neha_Sharma,NV,ClassII
NEOWISE_NS_71,274.147073,-11.213363,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_72,296.361953,23.844422,Neha_Sharma,NV,FS
NEOWISE_NS_73,128.911767,-40.601915,Neha_Sharma,NV,ClassII
NEOWISE_NS_74,289.797764,13.698085,Neha_Sharma,NV,FS
NEOWISE_NS_75,288.278386,8.966163,Neha_Sharma,NV,FS
NEOWISE_NS_76,293.535269,19.492273,Neha_Sharma,NV,FS
NEOWISE_NS_77,134.763813,-43.881742,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_78,151.625216,-57.447252,Neha_Sharma,NV,ClassII
NEOWISE_NS_79,274.53225,-13.841181,Neha_Sharma,Irregular,FS
NEOWISE_NS_80,310.071898,42.619176,Neha_Sharma,NV,FS
NEOWISE_NS_81,331.553596,58.168356,Neha_Sharma,NV,ClassII
NEOWISE_NS_82,273.072564,-20.638527,Neha_Sharma,NV,ClassII
NEOWISE_NS_83,265.385543,-29.100579,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_84,310.074075,41.764949,Neha_Sharma,NV,ClassII
NEOWISE_NS_85,214.553769,-61.448508,Neha_Sharma,NV,ClassI
NEOWISE_NS_86,198.075165,-62.356204,Neha_Sharma,NV,FS
NEOWISE_NS_87,341.532804,62.076936,Neha_Sharma,NV,FS
NEOWISE_NS_88,158.384904,-57.813075,Neha_Sharma,NV,ClassII
NEOWISE_NS_89,210.934753,-62.079568,Neha_Sharma,NV,ClassII
NEOWISE_NS_90,128.491607,-37.941258,Neha_Sharma,NV,ClassI
NEOWISE_NS_91,245.257131,-49.8769,Neha_Sharma,Irregular,ClassII
NEOWISE_NS_92,297.93649,26.077951,Neha_Sharma,NV,ClassII
NEOWISE_NS_93,134.60661,-47.514317,Neha_Sharma,Irregular,ClassI
NEOWISE_NS_94,252.325968,-44.740029,Neha_Sharma,Drop,ClassII
NEOWISE_NS_95,221.223309,-60.216411,Neha_Sharma,Irregular,FS
NEOWISE_NS_96,215.112122,-60.938327,Neha_Sharma,NV,ClassII
NEOWISE_NS_97,267.552871,-25.575762,Neha_Sharma,Irregular,FS
NEOWISE_NS_98,215.681979,-61.133576,Neha_Sharma,NV,ClassII
